Museum number,Production date,prod_date_primary,start_year,end_year,midpoint_year,date_parse_status,Culture,Production place,Find spot
"No: 1886,0401.45",520BC-490BC (circa); 550BC - 500BC,520bc-490bc,-520.0,-490.0,-505.0,parsed_bc_range,Archaic Greek,Made in: South Ionia (historic),Excavated/Findspot: Sanctuary of Apollo (Naukratis) (Attributed by Petrie to the 'second temple of Apollo'.)
"No: 1816,0610.321",420BC-400BC,420bc-400bc,-420.0,-400.0,-410.0,parsed_bc_range,Classical Greek,,Excavated/Findspot: Athens
"No: 1893,0315.1",300BC (circa),300bc,-300.0,-300.0,-300.0,parsed_bc_single,Apulian (Greek),Made in: Taranto,Excavated/Findspot: Taranto
"No: 1843,0531.26",447BC-432BC,447bc-432bc,-447.0,-432.0,-440.0,parsed_bc_range,Classical Greek,,Excavated/Findspot: Parthenon
No: EA20577,,,-664.0,-525.0,-594.5,no_date_text,26th Dynasty,,Excavated/Findspot: Tell Nabasha
No: EA11468,,,-1069.0,-332.0,-700.5,no_date_text,Third Intermediate; Late Period,,Found/Acquired: Egypt
No: EA60824,,,-664.0,-332.0,-498.0,no_date_text,Late Period,,Found/Acquired: Egypt
No: EA24755,,,,,,no_date_text,Third Intermediate; 26th Dynasty,,Found/Acquired: Egypt
No: EA20577,,,-664.0,-525.0,-594.5,no_date_text,26th Dynasty,,Excavated/Findspot: Tell Nabasha
No: EA60733,,,,,,no_date_text,Ancient Egypt,,Found/Acquired: Egypt
No: EA20577,,,-664.0,-525.0,-594.5,no_date_text,26th Dynasty,,Excavated/Findspot: Tell Nabasha
No: EA20577,,,-664.0,-525.0,-594.5,no_date_text,26th Dynasty,,Excavated/Findspot: Tell Nabasha
No: EA60376,,,-664.0,-332.0,-498.0,no_date_text,Late Period,,Found/Acquired: Egypt
No: EA11638,,,-664.0,-332.0,-498.0,no_date_text,Late Period,,Excavated/Findspot: Tarsus
No: EA67384,,,-664.0,-332.0,-498.0,no_date_text,Late Period,,Excavated/Findspot: Saqqara (Memphis)
