RecordID,Museum,LocalID,AcqDate,ObjectType,ItemDate,StartDate,EndDate,MidpointDate,ItemPlace,ModernCountry,Culture,ItemMaterial,ItemTechnique
00001,BM,"No: 1886,0401.45",,acroterion,520BC-490BC (circa); 550BC - 500BC,-520.0,-490.0,-505.0,South Ionia,Greece,Archaic Greek,marble,painted
00002,BM,"No: 1816,0610.321",1816,acroterion,420BC-400BC,-420.0,-400.0,-410.0,,Greece,Classical Greek,marble,
00003,BM,"No: 1893,0315.1",,acroterion,300BC (circa),-300.0,-300.0,-300.0,Taranto,Italy,Apulian (Greek),limestone,
00004,BM,"No: 1843,0531.26",1843,acroterion,447BC-432BC,-447.0,-432.0,-440.0,,Greece,Classical Greek,marble,
00005,BM,No: EA11468,1848,amulet; figure,,-1069.0,-332.0,-700.5,,Egypt,Third Intermediate; Late Period,glazed composition,glazed
00006,BM,No: EA60824,1834,amulet; figure,,-664.0,-332.0,-498.0,,Egypt,Late Period,glazed composition,glazed
00007,BM,No: EA24755,1893,amulet; figure,,,,,,Egypt,Third Intermediate; 26th Dynasty,glazed composition,
00008,BM,No: EA60733,1834,amulet; figure,,,,,,Egypt,Ancient Egypt,glazed composition,pierced
00009,BM,No: EA60376,1839,amulet; figure,,-664.0,-332.0,-498.0,,Egypt,Late Period,lapis lazuli,pierced
00010,BM,No: EA11638,1871,amulet; figure,,-664.0,-332.0,-498.0,,Turkey,Late Period,glazed composition,pierced; glazed
00011,BM,No: EA67384,1971,amulet; figure,,-664.0,-332.0,-498.0,,Egypt,Late Period,glazed composition,glazed
00012,BM,No: EA26230,1895,amulet; figure,BC1069-747 (c.),-1069.0,-747.0,-908.0,,Egypt,Third Intermediate,glazed composition,glazed
00013,BM,No: EA27544,1885,amulet; figure,500 BC - 350 BC,-500.0,-350.0,-425.0,Egypt,Egypt,Late Period,glazed composition,glazed; mould-made; incised
00014,BM,No: EA60507,,amulet; figure,,-664.0,-332.0,-498.0,,Egypt,Late Period,glazed composition,glazed
00015,BM,No: EA59507,1929,amulet; figure,,-664.0,-332.0,-498.0,,Egypt,Late Period,lapis lazuli,
00016,BM,"No: 2001,0711.1",2001,amulet; figure,7thC,601.0,700.0,650.0,,United Kingdom,Anglo-Saxon,copper alloy,
00017,BM,No: EA26591,1896,amulet; figure,,-664.0,-525.0,-594.5,,Egypt,26th Dynasty,glazed composition,
00018,BM,No: EA59872,1930,amulet; pendant; figure,300BC (after),-300.0,-300.0,-300.0,,Egypt,Meroitic; Roman Period,gold,solid-cast; pierced
00019,BM,No: EA61035,1839,amulet; figure,,-664.0,-525.0,-594.5,,Egypt,26th Dynasty,glazed composition,pierced
00020,BM,No: EA11291,1866,amulet; figure,,-664.0,-525.0,-594.5,,Egypt,26th Dynasty,glazed composition,pierced
00021,BM,"No: 1984,0603.1",1984,aquamanile,1250-1350 (circa),1250.0,1350.0,1300.0,Lyveden,,,pottery,applied; slip-decorated; handmade (?)
00022,BM,"No: Af1954,23.294",1954,aquamanile,16thC-17thC (?),1501.0,1700.0,1600.0,Benin City,Nigeria,,brass,lost-wax cast
00023,BM,"No: 1851,0412.1",1851,aquamanile,13thC,1201.0,1300.0,1250.0,Germany,Germany,,bronze,cast
00024,BM,"No: Af1949,38.1",1949,aquamanile,16thC - 19thC,1501.0,1900.0,1700.0,Benin City,Nigeria,,brass,lost-wax cast
00025,BM,"No: 1853,0315.1",1853,aquamanile,1275-1300 (about),1275.0,1300.0,1288.0,England,United Kingdom,Late Medieval,copper alloy,
00026,BM,"No: 1866,1029.4",1866,architecture; sculpture,,,,,,,Islamic,stucco,mould-made; carved
00027,BM,"No: 1866,1029.2",1866,architecture; sculpture,,,,,,,Islamic,stucco,carved; mould-made; painted
00028,BM,No: OA+.11130.1,1921,architecture; sculpture,,,,,,Iraq,Abbasid dynasty,plaster,painted; carved; moulded
00029,BM,No: OA+.11136,1921,architecture; sculpture; revetment,9thc-19thc,801.0,1900.0,1350.0,,,Abbasid dynasty,plaster,carved
00030,BM,No: OA+.10854,1921,architecture; sculpture,9thc-10thc,801.0,1000.0,900.0,,,Abbasid dynasty,plaster,carved
00031,BM,No: OA+.10886,1921,architecture; sculpture,9thc,801.0,900.0,850.0,,Iraq,Abbasid dynasty,plaster,carved
00032,BM,"No: 1888,0601.660",1888,aryballos; figure,595BC-550BC (circa); 590BC (circa),-595.0,-550.0,-572.0,East Greece,Greece,Archaic Greek; East Greek,pottery; terracotta,mould-made; painted
00033,BM,"No: 1888,0601",,aryballos; figure,595BC-550BC (circa),-595.0,-550.0,-572.0,East Greece,Greece,Archaic Greek; East Greek,pottery; terracotta,mould-made; painted; wheel-made
00034,BM,"No: 1886,0401.1470",1886,aryballos; model group; figure,550BC (circa),-550.0,-550.0,-550.0,East Greece,Greece,East Greek; Archaic Greek,terracotta,painted; hand-modelled
00035,BM,"No: 1894,1028.1",1894,askos; figure,300BC-200BC,-300.0,-200.0,-250.0,Egypt,Egypt,Ptolemaic,pottery,slipped
00036,BM,No: WB.134,1898,automaton; figure,"1617-1620 (Previously said to be 1617-1620, due to incorrect identification of mark.); 1585-1590 (Given Nuremberg assay mark in use of 1576/77-1591 and reattribution to Christoph II Ritter, this object must be dated earlier than previously thought.)",1617.0,1620.0,1618.0,Nuremberg,,,silver,parcel-gilded; relief; stamped; chased; burnished
00037,BM,"No: 1864,1007.1935",1864,bath-tub; model; figure,450BC (circa),-450.0,-450.0,-450.0,,Greece,Classical Greek,terracotta,
00038,BM,"No: 1894,0718.13",1894,bed; model; figure,4thC BC(late),-400.0,-301.0,-350.0,,Greece,Hellenistic,terracotta,
00039,BM,"No: As1994,05.49",1994,belum,1971,1971.0,1971.0,1971.0,Oya district,,,nipa palm leaf,woven
00040,BM,"No: 1981,1102.3",1981,block; sculpture,1130-1140 (circa),1130.0,1140.0,1135.0,,,Late Medieval,limestone,
00041,BM,"No: 1987,0109.2",1987,book-end; figure,1882 (made),1882.0,1882.0,1882.0,North West Palace,,,porcelain,
00042,BM,"No: 1987,0109.1",1987,book-end; figure,1882 (made),1882.0,1882.0,1882.0,Palace of Sargon II,,,porcelain,
00043,BM,"No: 1974,1002.1",1974,book-mount; sculpture; casket,10thC(late) (?); 11thC(early) (?),901.0,1000.0,950.0,England,United Kingdom,Anglo-Saxon,walrus ivory,carved; relief; polished
