RecordID,Museum,AcqDate,ObjectType,ItemDate,ModernCountry,ItemMaterial,ItemTechnique,CorrectedStartDate,CorrectedEndDate,CorrectedMidpointDate
119,BM,2017,bust; figure,420BC-400BC,Greece,terracotta,painted; mould-made,-420.0,-400.0,-410.0
123,BM,2017,bust,2012,United Kingdom,bronze,,2012.0,2012.0,2012.0
139,BM,2010,bust,2010,United Kingdom,iron,cast,2010.0,2010.0,2010.0
222,BM,2012,doll; figurine; sequin,1950s-1960s,Palestine,metal; cotton; cardboard,embroidered,1950.0,1969.0,1960.0
226,BM,2012,doll; figurine,1950s-1960s,Palestine,metal; cotton; cardboard,embroidered,1950.0,1969.0,1960.0
230,BM,2009,doll,late 16th century,,pewter,,1501.0,1600.0,1550.0
235,BM,2012,doll; figurine,1950s-1960s,Palestine,metal; cotton; cardboard,embroidered,1950.0,1969.0,1960.0
267,BM,2022,figure,5thC BC - 2ndC BC,China,jade,cut; incised,-500.0,-101.0,-300.0
275,BM,2022,figure,15thC BC-10thC BC,China,jade,carved; polished; incised,-1500.0,-901.0,-1200.0
305,BM,2005,figure,1773 (circa),United Kingdom,porcelain,moulded,1773.0,1773.0,1773.0
354,BM,2022,figure,4700BC-2900BC,China,jade,drilled,-4700.0,-2900.0,-3800.0
359,BM,2018,figure,16thC-17thC,China,ivory,carved,1501.0,1700.0,1600.0
404,BM,2022,figure,13thC-14thC,China,jade,incised,1201.0,1400.0,1300.0
445,BM,2022,figure,10thC-12thC,China,jade; gold,polished; carved,901.0,1200.0,1050.0
498,BM,2011,figure,2011 (about),,fibre; wood; bark; ochre; pandanus fibre,twined (basketry),2011.0,2011.0,2011.0
500,BM,2018,figure,2000,South Korea,porcelain,glazed,2000.0,2000.0,2000.0
503,BM,2022,figure,10thC-13thC,China,jade,carved; incised,901.0,1300.0,1100.0
619,BM,2022,figure,15thC BC-10thC BC,China,jade,incised; bevelled,-1500.0,-901.0,-1200.0
699,BM,2015,figure,2015,,porcelain,glazed; painted; mould-made,2015.0,2015.0,2015.0
714,BM,2022,figure,2ndC BC-2ndC AD,China,jade,polished; bevelled; drilled,-200.0,200.0,0.0
743,BM,2022,figure,11thC BC-8thC BC,China,jade,bevelled; incised,-1100.0,-701.0,-900.0
789,BM,2011,figure,2011 (about),,fibre; wood,,2011.0,2011.0,2011.0
810,BM,2022,figure,11thC BC-8thC BC,China,jade; cinnabar,carved; incised,-1100.0,-701.0,-900.0
815,BM,2022,figure,15thC BC-10thC BC,China,jade,incised,-1500.0,-901.0,-1200.0
874,BM,2022,figure,2ndC BC-2ndC AD,China,jade,incised; bevelled,-200.0,200.0,0.0
907,BM,2022,figure,14thC-17thC,China,jade,carved,1301.0,1700.0,1500.0
918,BM,2018,figure,16thC-17thC,China,ivory; turquoise,carved,1501.0,1700.0,1600.0
1058,BM,2009,figure,350BC (about),Greece,terracotta,mould-made,-350.0,-350.0,-350.0
1071,BM,2022,figure,11thC BC-8thC BC,China,jade,incised,-1100.0,-701.0,-900.0
1137,BM,2005,figure,,,terracotta,painted,,,
1182,BM,2022,figure,7thC-12thC,China,jade,polished,601.0,1200.0,900.0
1218,BM,2022,figure,11thC BC-8thC BC,China,jade,incised,-1100.0,-701.0,-900.0
1243,BM,2016,figure,1350-1375,United Kingdom,alabaster; gold,carved; painted; gilded,1350.0,1375.0,1362.0
1317,BM,2022,figure,4700BC-2900BC,China,jade,incised,-4700.0,-2900.0,-3800.0
1416,BM,2022,figure,10thC-13thC,China,jade,carved; incised,901.0,1300.0,1100.0
1432,BM,2022,figure,5thC BC - 2ndC BC,China,jade,polished; incised,-500.0,-101.0,-300.0
1434,BM,2022,figure,4thC BC- 1stC BC,China,jade; cinnabar,incised; pierced; carved,-400.0,-1.0,-200.0
1457,BM,2022,figure,14thC-17thC,China,jade,carved,1301.0,1700.0,1500.0
1475,BM,2022,figure,4thC BC- 1stC BC,China,jade; cinnabar,pierced; polished (?),-400.0,-1.0,-200.0
1557,BM,2022,figure,12thC BC (circa),China,jade; cinnabar,bevelled; incised,-1200.0,-1101.0,-1150.0
1648,BM,2015,figure,2015,,porcelain,glazed; painted; mould-made,2015.0,2015.0,2015.0
1828,BM,2018,figure,1924,,earthenware,moulded; painted; glazed,1924.0,1924.0,1924.0
1846,BM,2011,figure,1900-1920 (circa),Gabon,wood; brass; palm oil; resin,carved,1900.0,1920.0,1910.0
1856,BM,2022,figure; fitting,11thC BC-8thC BC,China,jade; cinnabar,carved; incised,-1100.0,-701.0,-900.0
1862,BM,2022,figure,7thC-10thC,China,jade,,601.0,1000.0,800.0
1923,BM,2022,figure,2ndC BC-2ndC AD,China,jade,polished; incised,-200.0,200.0,0.0
1958,BM,2022,figure,206 BC - 220 AD,China,jade,,-206.0,220.0,7.0
1983,BM,2022,figure; paper-weight,13thC-14thC,China,jade,polished (?); incised,1201.0,1400.0,1300.0
1989,BM,2022,figure,7thC-10thC,China,jade,carved,601.0,1000.0,800.0
2148,BM,2022,figure,2ndC BC-2ndC AD,China,jade,polished; incised; bevelled,-200.0,200.0,0.0
2194,BM,2022,figure,17thC-20thC,China,jade,carved; incised; polished,1601.0,2000.0,1800.0
2211,BM,2022,figure,15thC BC-10thC BC,China,jade,carved; incised,-1500.0,-901.0,-1200.0
2232,BM,2014,figure,9thC,Bangladesh,copper alloy,cast,801.0,900.0,850.0
2237,BM,2022,figure,10thC-13thC,China,jade,carved; polished; incised,901.0,1300.0,1100.0
2270,BM,2011,figure,2011 (about),,fibre; wood; pandanus fibre; paper; ochre,twined (basketry),2011.0,2011.0,2011.0
2359,BM,2022,figure,12thC BC (circa),China,jade; cinnabar,incised,-1200.0,-1101.0,-1150.0
2449,BM,2022,figure,18thC,China,jade,carved,1701.0,1800.0,1750.0
2512,BM,2005,figure,,,terracotta,painted,,,
2538,BM,2014,figurine; sculpture,1982,,earthenware,burnished; handmade,1982.0,1982.0,1982.0
2576,BM,2011,figurine,2300BC-2200BC,Greece,marble,carved; painted,-2300.0,-2200.0,-2250.0
2601,BM,2016,figurine,1stC-2ndC,,pipe-clay,,1.0,200.0,100.0
2631,BM,2009,figurine,450BC-400BC,Greece,terracotta,mould-made,-450.0,-400.0,-425.0
2638,BM,2005,figurine,3000BC (circa),,limestone,,-3000.0,-3000.0,-3000.0
2661,BM,2016,figurine,1stC-2ndC,,pipe-clay,,1.0,200.0,100.0
2663,BM,2013,figurine,2300BC-2000BC,,fired clay,painted,-2300.0,-2000.0,-2150.0
2677,BM,2010,figurine,1-200,United Kingdom,copper alloy; lead,cast,1.0,200.0,100.0
2685,BM,2013,figurine,2000BC (circa),Iran,fired clay,,-2000.0,-2000.0,-2000.0
2699,BM,2014,figurine; sculpture,1986,,earthenware,burnished; handmade,1986.0,1986.0,1986.0
2700,BM,2012,figurine,600 BC-400 BC,Cyprus,limestone,carved; painted,-600.0,-400.0,-500.0
2704,BM,2006,figurine,2500BC (about),Japan,earthenware,,-2500.0,-2500.0,-2500.0
