ID,Exhibition,Space,Era,Country,Medium,Type of Exhibition,Principal Artist,Start Day,End Day,Duration,Report Year,Visitors,Charge?,Co-Organisers,Sponsors,Link,Description,A review with more info,days_to_start,days_to_end,exhib_duration
1,Mona Hatoum,,Contemporary,"Lebanon, UK",Sculpture,Artist,Mona Hatoum,2016-05-04,2016-08-21,109.0,2016-17,,Paid,"Centre Pompidou, Musée National d’Art Moderne, Paris, in collaboration with Tate Modern and Finnish National Gallery / the Museum of Contemporary Art Kiasma, Helsinki",AGC Equity Partners with additional support from Jabre Capital Partners SA Geneva,http://www.tate.org.uk/whats-on/tate-modern/exhibition/mona-hatoum,"Born in Beirut to a Palestinian family, Mona Hatoum settled in England in 1975. Her work creates a challenging vision of our world, exposing its contradictions and complexities, often making the familiar uncanny. Through the juxtaposition of opposites such as beauty and horror, she engages us in conflicting emotions of desire and revulsion, fear and fascination.",,3184,3293,110
2,Georgia O’Keeffe,,Modernism,USA,Painting,Artist,Georgia O’Keeffe,2016-07-06,2016-10-30,116.0,2016-17,,Paid,-,Art Mentor Foundation Lucerne with additional support from the Georgia O’Keeffe Exhibition Supporters Group and Tate Patrons,http://www.tate.org.uk/whats-on/tate-modern/exhibition/georgia-okeeffe,"Georgia O’Keeffe is best known for her paintings of magnified flowers, animal skulls, and New Mexico desert landscapes. This exhibition brings together some of her most important works, including Jimson Weed/White Flower No. 1 1932, the most expensive painting by a female artist ever sold at auction. Making her debut a century ago, in 1916, O’Keeffe was immediately recognised as a trailblazing artist, while today her legacy as an American art icon and a pioneer of twentieth-century art is widely recognised. With no works by O’Keeffe in UK public collections this exhibition is a rare chance to see the beauty and skill of her remarkable paintings outside the US",,3247,3363,117
3,Bhupen Khakhar: You Can’t Please All,,Post-War,India,Painting,Artist,Bhupen Khakhar,2016-06-01,2016-11-06,158.0,2016-17,,Paid,-,Deutsche Bank. Supported by Kiran Nadar Museum of Art with additional support from the Bhupen Khakhar Exhibition Supporters Circle,http://www.tate.org.uk/whats-on/tate-modern/exhibition/bhupen-khakhar,"Renowned for his unique figurative style and incisive observations of class and sexuality, Bhupen Khakhar (1934-2003) played a central role in modern Indian art and was a key international figure in 20th century painting. This landmark exhibition showcases vivid works on canvas, luminous watercolour paintings and experimental ceramics.  An accountant-turned-artist, Bhupen Khakhar demonstrated a commitment to representing his world with unflinching honesty. High and low merged in narrative paintings with influences ranging from devotional aesthetics and street culture to European painting and pop art. He confronted provocative themes, particularly his sexuality, with rare sensitivity and wit. Haunting portraits of ordinary men and last works describing his struggle with cancer express a rare humanity.   Bringing together Khakhar’s work from across five decades and collections around the world for the first time since his death, this is a unique opportunity to discover his extraordinary work and inspirational story.",,3212,3370,159
4,Anne Teresa de Keersmaeker: Work / Travail / Arbeid,Turbine Hall,Contemporary,Belgium,Performance,Performance,Anne Teresa de Keersmaeker:,2016-07-08,2016-07-10,2.0,2016-17,,Free,-," Rosas, Ictus, WIELS, with support of the BNP Paribas Foundation. Work/Travail/Arbeid was initiated by WIELS Contemporary Art Centre and Rosas and has been made possible with the support of De Munt/La Monnaie, BOZAR - Centre for Fine Arts, Kaaitheater, Kunstenfestivaldesarts, Ictus, BNP Paribas Fortis, BNP Paribas Foundation, WIELS Patrons and Rolex Institute. ",http://www.tate.org.uk/whats-on/tate-modern/exhibition/anne-teresa-de-keersmaeker,"What would it mean for choreography to perform as an exhibition? This question forms the starting point for Anne Teresa De Keersmaeker’s latest ground-breaking work Work/Travail/Arbeid. De Keersmaeker first performed at Tate Modern during the opening of the Tanks in 2012. For this new work, she has transferred her dance performance Vortex Temporum 2013, choreographed to music by composer Gérard Grisey, from the theatre stage to the more open setting of a museum. The exhibition was originally presented at WEILS Centre for Contemporary Art, Brussels, and its intricate intertwining of sound and movement has been reimagined for the unique space of Tate Modern’s Turbine Hall. The work questions the convention that choreography can only be presented on stage and celebrates dance as a rigorous, structured medium.",,3249,3251,3
5,The EY Exhibition: Wifredo Lam,,Modernism,Cuba,Painting,Artist,Wilfredo Lam,2016-09-14,2017-01-08,116.0,2016-17,,Paid,"Centre Pompidou, Musée national d’art moderne, Paris, in collaboration with Tate Modern, London, and the Museo Nacional Centro de Arte Reina Sofia, Madrid",EY Tate Arts Partnership,http://www.tate.org.uk/whats-on/tate-modern/exhibition/wifredo-lam,"Wifredo Lam’s distinctive style shook the assumptions of western Modernism. His distinctive paintings introduced the symbolism of his Cuban roots and defined a new way of painting for a post-colonial world. As he travelled in Europe and North and South America, he was a witness to twentieth century political upheaval – including the Spanish Civil War, the evacuation of artists and intellectuals from France with the onset of World War II, and the new Cuba borne of the Revolution. Born in Cuba in 1902, Lam’s mother was of Spanish and African heritage, and his father was Cantonese Chinese. After eighteen years in Europe, Lam returned to Cuba and rediscovered the local African traditions that transformed his work. Closely connected to movements such as Cubism and Surrealism and artists and writers such as Pablo Picasso, André Breton, Asger Jorn, Lucio Fontana and Aimé Césaire, his unique work spans continents and traditions. Throughout his long career, his work addressed themes of social injustice, nature and spirituality, that challenged prevailing attitudes held by western artists about other cultures. His work continues to bring a historical perspective to contemporary issues. This exhibition celebrates Lam’s life and work and confirms his place at the centre of global art history.",,3317,3433,117
6,Robert Rauschenberg,,Post-War,USA,Mixed,Artist,Robert Rauschenberg,2016-12-01,2017-04-02,122.0,2016-17,,Paid,"The Museum of Modern Art, New York","Bank of America Merrill Lynch. Supporting Sponsor: Tiffany & Co. Supported by Terra Foundation for American Art and Art Mentor Foundation Lucerne with additional support from the Robert Rauschenberg Exhibition Supporters Group, Tate Americas Foundation and Tate Patrons",http://www.tate.org.uk/whats-on/tate-modern/exhibition/robert-rauschenberg,"Robert Rauschenberg blazed a new trail for art in the second half of the twentieth century. This landmark exhibition celebrates his extraordinary six-decade career, taking you on a dazzling adventure through modern art in the company of a truly remarkable artist. From paintings including flashing lights to a stuffed angora goat, Rauschenberg’s appetite for incorporating things he found in the streets of New York knew no limits. Pop art silkscreen paintings of Kennedy sit alongside 1000 gallons of bentonite mud bubbling to its own rhythm. Rauschenberg even made a drawing which was sent to the moon. Each room captures a different moment of this rich journey, from Rauschenberg’s early response to abstract expressionism to his final works saturated in images and colour. Seen together they show how Rauschenberg rethought the possibilities for art in our time. This exhibition, organised in collaboration with The Museum of Modern Art, New York, is the first full-scale retrospective since the artist’s death in 2008 and the ultimate Rauschenberg experience. It is your one chance to see these major international loans together in one place, while discovering the full story of an inspirational and much-loved artist whose influence is still felt today.",,3395,3517,123
7,The Radical Eye: Modernist Photography from the Sir Elton John Collection,,Modernism,Mixed,Photography,Collection,-,2016-11-10,2017-05-21,192.0,2016-17,,Paid,-,-,http://www.tate.org.uk/whats-on/tate-modern/exhibition/radical-eye-modernist-photography-sir-elton-john-collection,"This is a once-in-a-lifetime chance to see one of the world’s greatest private collections of photography, drawn from the classic modernist period of the 1920s–50s. An incredible group of Man Ray portraits are exhibited together for the first time, having been brought together by Sir Elton John over the past twenty-five years, including portraits of Matisse, Picasso, and Breton. With over 70 artists and nearly 150 rare vintage prints on show from seminal figures including Brassai, Imogen Cunningham, André Kertész, Dorothea Lange, Tina Modotti, and Aleksandr Rodchenko, this is a chance to take a peek inside Elton John’s home and delight in seeing such masterpieces of photography.",,3374,3566,193
8,Hyundai Commission: Philippe Parreno – Anywhen,Turbine Hall,Contemporary,France,Installation,Miniature / One off,Philippe Parreno,2016-10-04,2017-04-02,180.0,2016-17,,Free,,"Hyundai Motor. With support from Kvadrat, LUMA Foundation and the Philippe Parreno Supporters Circle",http://www.tate.org.uk/whats-on/tate-modern/exhibition/hyundai-commission/philippe-parreno-anywhen,"Prepare to have your senses activated and stimulated by a spectacular choreography of acoustics, sound lighting, flying objects and film, each connected to the other and playing their part in a far bigger score. Tate’s Turbine Hall becomes a universe of inter-related and connected events and parallel realities. Events will unfold anywhen.  Anywhen is a site-specific exhibition that changes throughout the day and that will evolve during the six-month period of the commission. The exhibition is conceived as an automaton which guides the public through a constantly changing play of moving elements, light configurations and sound environments. The artist states that ‘the exhibition is a construction of situations or sequences in a non-linear narrative’. The commission responds to the Turbine Hall’s position at the centre of the museum, an open space connected to the city itself. The artist combines aspects of chance and control: the sequences of events are triggered by software which is informed by micro-organisms. These react to and activate elements of the commission through a bioreactor visible at the far end of the Turbine Hal",,3337,3517,181
9,BMW Tate Live Exhibition: Ten Days Six Nights,The Tanks,Contemporary,Mixed,Mixed,Mixed,-,2017-03-24,2017-04-02,9.0,2016-17,,Both,,BMW,http://www.tate.org.uk/whats-on/tate-modern/exhibition/bmw-tate-live-exhibition-ten-days-six-nights,"Situated in the Tanks, the first BMW Tate Live Exhibition brings together an intergenerational selection of artists that have been invited to stage their work as a space that extends a form of hospitality or community, to other artists and visitors alike. The artists create images of networks and forms of participation that link natural environment with social media, organic and technological, human and non-human. Isabel Lewis is in residence throughout the duration of the exhibition hosting a number of her signature occasions, combining music, food, drink and perfume to create an alternative environment for dance, discussions and invited musicians. CAMP, a collaborative studio founded in Mumbai in 2007, use the Transformer Galleries and the East Tank as a space to share Could Have Beens, a selection of rarely-seen installations each reworking systems of electricity and imaging to propose alternate socio-tecnological scenarios. Wu Tsang and Fred Moten present Gravitational Feel, a sculptural performance using fabric and sound to explore the social and physical significance of touch and voice. Installations by Carlos Casas, Phill Niblock, and Lorenzo Senni exist as site-specific environments open to the public by day. Fujiko Nakaya will transform the South Terrace for the first time with an immersive fog sculpture, animated by a light and soundscape made in collaboration with Nakaya’s historic collaborators: Ryuichi Sakamoto and Shiro Takatani; and host performances by renowned dancer and choreographer Min Tanaka.",,3508,3517,10
10,Wolfgang Tillmans: 2017,,Contemporary,Belgium,Mixed,Artist,Wolfgang Tillmans,2017-02-15,2017-06-11,116.0,2016-17,,Paid,,Hyundai Cars. With additional support from Tate International Council and Tate Patrons.,http://www.tate.org.uk/whats-on/tate-modern/exhibition/wolfgang-tillmans-2017,"What are we to make of the world in which we find ourselves today?  Contemporary artist Wolfgang Tillmans offers plenty of food for thought. This is Wolfgang Tillmans’s first ever exhibition at Tate Modern and brings together works in an exciting variety of media – photographs, of course, but also video, digital slide projections, publications, curatorial projects and recorded music – all staged by the artist in characteristically innovative style. The year 2003 is the exhibition’s point of departure, representing for Tillmans the moment the world changed, with the invasion of Iraq and anti-war demonstrations. The social and political form a rich vein throughout the artist’s work.  German-born, international in outlook and exhibited around the world, Tillmans spent many years in the UK and is currently based in Berlin. In 2000, he was the first photographer and first non-British artist to receive the Turner Prize.",,3471,3587,117
