Museum Name ,Coverage,Month,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019
TATE TOTAL,Museum group,April,460099,608435,591088,684842,586966,591720,590649,628313,783263,670969,659476,589142,441342,1022007,808511
TATE TOTAL,Museum group,May,451568,541077,521653,557464,611173,579244,658090,578026,626807,658903,759264,658801,437003,861520,677232
TATE TOTAL,Museum group,June,548208,517768,523585,576471,646381,534948,581744,593472,631525,529973,666136,546754,734041,520915,624723
TATE TOTAL,Museum group,July,668281,534737,663637,674884,716663,662678,750621,744364,745827,685250,798793,697374,964422,648432,702768
TATE TOTAL,Museum group,August,726580,529949,743149,740130,851192,703650,807915,728906,791576,703516,910501,686972,874005,656281,833752
TATE TOTAL,Museum group,September,470629,519443,620196,532849,587983,535868,545806,528737,693613,562672,643881,517453,688246,566338,653891
TATE TOTAL,Museum group,October,562560,685109,872815,780283,773758,737993,846751,670343,743558,622083,711937,586127,855808,693841,690718
TATE TOTAL,Museum group,November,466993,536323,682876,686494,602004,560943,601325,499533,548996,515852,589981,477321,588643,588329,577770
TATE TOTAL,Museum group,December,389141,450180,603918,558155,481314,482955,431238,472866,469546,444548,529813,459248,583918,560740,534490
TATE TOTAL,Museum group,January,380623,491014,538958,572863,510712,537888,508582,458280,462217,498601,551337,501954,583695,614346,x
TATE TOTAL,Museum group,February,537371,482463,646083,641559,539269,579141,534969,559721,556537,569390,529402,441777,791483,631099,x
TATE TOTAL,Museum group,March,630452,515945,699878,698835,567779,618145,592768,603734,693488,574733,553600,499537,905614,801856,x
TATE TOTAL,Museum group,Financial Year Running Total,6292505,6412443,7707836,7704829,7475194,7125173,7450458,7066295,7746953,7036490,7904121,6662460,8448220,8165704,6103855
