systemNumber,Production date,prod_date_primary,start_year,end_year,midpoint_year,date_parse_status
O1407602,2015,2015,2015.0,2015.0,2015.0,parsed_ad_single
O250154,1983-1984,1983-1984,1983.0,1984.0,1984.0,parsed_ad_range
O1769534,2021,2021,2021.0,2021.0,2021.0,parsed_ad_single
O24959,12th century,12th c,1101.0,1200.0,1150.0,parsed_century_single
O82516,7th century to 8th century,7th c to 8th c,601.0,700.0,650.0,parsed_century_single
O24669,1980,1980,1980.0,1980.0,1980.0,parsed_ad_single
O93018,ca. 1470 - ca. 1480,1470-1480,1470.0,1480.0,1475.0,parsed_ad_range
O1751729,2012,2012,2012.0,2012.0,2012.0,parsed_ad_single
O24670,1988,1988,1988.0,1988.0,1988.0,parsed_ad_single
O24039,1988,1988,1988.0,1988.0,1988.0,parsed_ad_single
O1262017,2008-2009,2008-2009,2008.0,2009.0,2008.0,parsed_ad_range
O19123,1980,1980,1980.0,1980.0,1980.0,parsed_ad_single
O1775552,2024,2024,2024.0,2024.0,2024.0,parsed_ad_single
O93174,ca. 1450-1475,1450-1475,1450.0,1475.0,1462.0,parsed_ad_range
O24964,late 11th century-12th century,11th c-12th c,1001.0,1200.0,1100.0,parsed_century_range
O25044,5th century - 6th century,5th c-6th c,401.0,600.0,500.0,parsed_century_range
O19120,1969,1969,1969.0,1969.0,1969.0,parsed_ad_single
O6854,1974,1974,1974.0,1974.0,1974.0,parsed_ad_single
O1174720,2009,2009,2009.0,2009.0,2009.0,parsed_ad_single
O249957,1980,1980,1980.0,1980.0,1980.0,parsed_ad_single
O19518,1968,1968,1968.0,1968.0,1968.0,parsed_ad_single
O127873,early 3rd century,3rd c,201.0,300.0,250.0,parsed_century_single
O1265535,2013,2013,2013.0,2013.0,2013.0,parsed_ad_single
O1742704,2021,2021,2021.0,2021.0,2021.0,parsed_ad_single
O24950,6th century,6th c,501.0,600.0,550.0,parsed_century_single
O1742682,2022,2022,2022.0,2022.0,2022.0,parsed_ad_single
O70318,ca. 1505-1510,1505-1510,1505.0,1510.0,1508.0,parsed_ad_range
O1329271,1821-1822,1821-1822,1821.0,1822.0,1822.0,parsed_ad_range
O1543710,2020,2020,2020.0,2020.0,2020.0,parsed_ad_single
O1435729,2018,2018,2018.0,2018.0,2018.0,parsed_ad_single
O155417,1992,1992,1992.0,1992.0,1992.0,parsed_ad_single
O24765,15th century,15th c,1401.0,1500.0,1450.0,parsed_century_single
O24710,First half of 10th century,first half of 10th c,901.0,1000.0,950.0,parsed_century_single
O68753,8th Century,8th c,701.0,800.0,750.0,parsed_century_single
O154940,1993,1993,1993.0,1993.0,1993.0,parsed_ad_single
O154937,1993,1993,1993.0,1993.0,1993.0,parsed_ad_single
O5059,1991,1991,1991.0,1991.0,1991.0,parsed_ad_single
O154935,1993,1993,1993.0,1993.0,1993.0,parsed_ad_single
O1785674,,,,,,no_date_text
O24968,11th century-12th century,11th c-12th c,1001.0,1200.0,1100.0,parsed_century_range
O82584,ca. 1731,1731,1731.0,1731.0,1731.0,parsed_ad_single
O115692,1150-1175,1150-1175,1150.0,1175.0,1162.0,parsed_ad_range
O1778097,2022,2022,2022.0,2022.0,2022.0,parsed_ad_single
O1761298,,,,,,no_date_text
O1533048,2019,2019,2019.0,2019.0,2019.0,parsed_ad_single
O6081,1981,1981,1981.0,1981.0,1981.0,parsed_ad_single
O153420,1978,1978,1978.0,1978.0,1978.0,parsed_ad_single
O299634,,,,,,no_date_text
O24854,5th century-6th century,5th c-6th c,401.0,600.0,500.0,parsed_century_range
O1343086,2011,2011,2011.0,2011.0,2011.0,parsed_ad_single
O153424,1972,1972,1972.0,1972.0,1972.0,parsed_ad_single
O1722035,2022,2022,2022.0,2022.0,2022.0,parsed_ad_single
O1681223,2018,2018,2018.0,2018.0,2018.0,parsed_ad_single
O3589,1974,1974,1974.0,1974.0,1974.0,parsed_ad_single
O1343090,2011,2011,2011.0,2011.0,2011.0,parsed_ad_single
O1343087,2011,2011,2011.0,2011.0,2011.0,parsed_ad_single
O65831,4th century -5th Century,4th c-5th c,301.0,500.0,400.0,parsed_century_range
O154931,1993,1993,1993.0,1993.0,1993.0,parsed_ad_single
O118186,1977,1977,1977.0,1977.0,1977.0,parsed_ad_single
O167916,ca. 1982-1984,1982-1984,1982.0,1984.0,1983.0,parsed_ad_range
O154934,1993,1993,1993.0,1993.0,1993.0,parsed_ad_single
O24949,Late 6th century- early 7th century,6th c-7th c,501.0,700.0,600.0,parsed_century_range
O297848,1988,1988,1988.0,1988.0,1988.0,parsed_ad_single
O19121,1974,1974,1974.0,1974.0,1974.0,parsed_ad_single
O1343088,2011,2011,2011.0,2011.0,2011.0,parsed_ad_single
O1343079,2011,2011,2011.0,2011.0,2011.0,parsed_ad_single
O1343080,2011,2011,2011.0,2011.0,2011.0,parsed_ad_single
O1343082,2011,2011,2011.0,2011.0,2011.0,parsed_ad_single
O1343083,2011,2011,2011.0,2011.0,2011.0,parsed_ad_single
O1343084,2011,2011,2011.0,2011.0,2011.0,parsed_ad_single
O1343085,2011,2011,2011.0,2011.0,2011.0,parsed_ad_single
O1318373,2011,2011,2011.0,2011.0,2011.0,parsed_ad_single
O1278147,2009,2009,2009.0,2009.0,2009.0,parsed_ad_single
O1435338,2017,2017,2017.0,2017.0,2017.0,parsed_ad_single
O24723,Late 12th century-13th century,12th c-13th c,1101.0,1300.0,1200.0,parsed_century_range
O1781385,,,,,,no_date_text
O1793788,2020,2020,2020.0,2020.0,2020.0,parsed_ad_single
O98423,1999,1999,1999.0,1999.0,1999.0,parsed_ad_single
O1784161,2024,2024,2024.0,2024.0,2024.0,parsed_ad_single
O1722676,2022,2022,2022.0,2022.0,2022.0,parsed_ad_single
O1761937,2023,2023,2023.0,2023.0,2023.0,parsed_ad_single
O1771175,,,,,,no_date_text
O66208,4th century - 5th Century,4th c-5th c,301.0,500.0,400.0,parsed_century_range
O1454796,2018,2018,2018.0,2018.0,2018.0,parsed_ad_single
O1454797,2018,2018,2018.0,2018.0,2018.0,parsed_ad_single
O25038,4th century-5th century,4th c-5th c,301.0,500.0,400.0,parsed_century_range
O24286,about 1983,1983,1983.0,1983.0,1983.0,parsed_ad_single
O82514,13th century,13th c,1201.0,1300.0,1250.0,parsed_century_single
O24974,Mid-12th century,mid-12th c,,,,unparsed_century_range
O1300033,2005,2005,2005.0,2005.0,2005.0,parsed_ad_single
O25663,1981,1981,1981.0,1981.0,1981.0,parsed_ad_single
O1300031,2008,2008,2008.0,2008.0,2008.0,parsed_ad_single
O1438679,2017,2017,2017.0,2017.0,2017.0,parsed_ad_single
O82984,early 13th century,13th c,1201.0,1300.0,1250.0,parsed_century_single
O154919,1993,1993,1993.0,1993.0,1993.0,parsed_ad_single
O1361752,1801,1801,1801.0,1801.0,1801.0,parsed_ad_single
O34450,1998,1998,1998.0,1998.0,1998.0,parsed_ad_single
O1742787,2021,2021,2021.0,2021.0,2021.0,parsed_ad_single
O3338,1988,1988,1988.0,1988.0,1988.0,parsed_ad_single
O1731010,2017,2017,2017.0,2017.0,2017.0,parsed_ad_single
O4699,1977-1987,1977-1987,1977.0,1987.0,1982.0,parsed_ad_range
O1507003,2018,2018,2018.0,2018.0,2018.0,parsed_ad_single
O485286,1993,1993,1993.0,1993.0,1993.0,parsed_ad_single
O64195,12th century,12th c,1101.0,1200.0,1150.0,parsed_century_single
O168034,1986,1986,1986.0,1986.0,1986.0,parsed_ad_single
O110100,1904,1904,1904.0,1904.0,1904.0,parsed_ad_single
O249629,1960,1960,1960.0,1960.0,1960.0,parsed_ad_single
O25060,1st Century BC - 1st Century AD,1st cbc-1st cad,-100.0,100.0,0.0,parsed_century_range
O3370,1991,1991,1991.0,1991.0,1991.0,parsed_ad_single
O65800,c.3rd Century,3rd c,201.0,300.0,250.0,parsed_century_single
O6072,1984,1984,1984.0,1984.0,1984.0,parsed_ad_single
O5958,1991,1991,1991.0,1991.0,1991.0,parsed_ad_single
O68516,17th century-18th century,17th c-18th c,1601.0,1800.0,1700.0,parsed_century_range
O19332,1969-70,1969-70,1969.0,70.0,1020.0,parsed_ad_range
O343128,ca.1860 - 1870,1860-1870,1860.0,1870.0,1865.0,parsed_ad_range
O5617,1981,1981,1981.0,1981.0,1981.0,parsed_ad_single
