accessionNumber,accessionYear,systemNumber,objectType,_primaryTitle,_primaryPlace,_primaryMaker__name,_primaryMaker__association,_primaryDate,_primaryImageId,_sampleMaterial,_sampleTechnique,_sampleStyle,_currentLocation__displayName,_objectContentWarning,_imageContentWarning
LOAN:MAKOWER.24:1-2016,2016.0,O1407602,Sculpture,Sculpture,London,Nan Nan Liu,designer and maker,2015,2024NX9357,silver,forging,,"Silver, Room 68",False,False
C.205&A-1984,1984.0,O250154,Sculpture,,Great Britain,"Best-Devereux, Tatiana",makers,1983-1984,,,,20TH GB,"Glass, Room 131",False,False
M.8-2024,2024.0,O1769534,Sculpture,Chockstones,Eryri National Park,Rauni Higson,designed and made,2021,,sterling silver,casting,,"Silver, Room 66",False,False
IS.174-1991,1991.0,O24959,Sculpture,Sculpture,Cambodia,Unknown,,12th century,2006AU3440,sandstone,carving,Angkorian,"The Himalayas and South-East Asia, Room 47a",False,False
IS.140-1961,1961.0,O82516,Sculpture,sculpture,"Dvaravati kingdom, Thailand",Unknown,,7th century to 8th century,2006BF2729,sandstone,Sculpture,Dvaravati,"The Himalayas and South-East Asia, Room 47a",False,False
FE.14-1989,1989.0,O24669,Sculpture,Untitled Sculpture,Seto,"Kato, Kiyoyuki",artist,1980,2010EL2222,stoneware,Slab building,Showa,"Ceramics, Room 137, The Curtain Foundation Gallery",False,False
111-1908,1908.0,O93018,Sculpture,Bishop saint,Ulm,Unknown,,ca. 1470 - ca. 1480,2010EM3108,limewood,carving,,"Sculpture 1300-1600, Room 27",False,False
A.5-2023,2023.0,O1751729,Sculpture,Bow Wave,Italy,"Halima Cassell, MBE, FRSS",made,2012,2023NN7798,Carrara marble,Carving,contemporary,"Sculpture, Room 21, The Dorothy and Michael Hintze Galleries",False,False
FE.16A&B-1989,1989.0,O24670,Sculpture,Sculpture in the Form of a Blade,Japan,"Fukami, Sueharu",artist,1988,2006AM8148,wood,,Showa,"Japan, Room 45, The Toshiba Gallery",False,False
FE.2-1989,1989.0,O24039,Sculpture,Untitled Sculpture,Kyoto,"Hayashi, Yasuo",maker,1988,2006AN0662,stoneware,glazed,Showa,"Ceramics, Room 137, The Curtain Foundation Gallery",False,False
M.3-2013,2013.0,O1262017,Sculpture,Every Man and Every Woman is a Star,England,"Clark, Michael",designer,2008-2009,2013GH8703,diamond,stone setting,,"Jewellery, Rooms 91, The William and Judith Bollinger Gallery",False,False
