Museum Name,Month,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019
British Museum,April,403841,372676,431430,400735,455743,508408,513323,495739,579873,644605,641259,600774,530029,549563,472113
British Museum,May,367435,414362,443157,431701,454604,471666,539734,485629,462164,660497,654228,635393,568317,541927,480033
British Museum,June,352583,390743,442917,401792,389540,460450,461935,526789,457906,579950,596527,601099,567555,557991,507173
British Museum,July,504251,400081,484378,470926,552341,567216,601719,663409,493439,747936,698550,765877,689401,679308,645024
British Museum,August,490457,359917,473701,500509,582018,549704,596630,617343,480136,739711,702997,717386,635353,591149,628253
British Museum,September,360254,320651,363569,481784,443478,416677,432671,444345,443538,555727,498386,520716,477003,422497,464483
British Museum,October,455236,405798,399860,555695,526540,499376,490251,494480,491908,533444,586248,624066,541954,479492,523369
British Museum,November,387258,365994,354909,509191,384757,391531,430562,342734,415935,410312,425550,483800,477088,421888,433200
British Museum,December,396783,377364,366105,523699,376555,405153,395106,370601,350458,411397,416112,413442,442708,363281,459485
British Museum,January,327033,360700,351099,546448,410035,402611,414782,408567,355439,428710,446904,437169,388072,397809,0
British Museum,February,367113,328462,368636,580093,417681,457606,460670,491294,463939,457379,477719,497950,420134,385277,0
British Museum,March,365956,388734,422498,635357,478764,519990,532013,500728,598079,589267,533510,555868,491414,432333,0
Museum Of The Home ,April,6599,5778,5381,6227,5365,7294,8223,7970,8654,9362,9981,8567,11911,9069,240
Museum Of The Home ,May,6742,5136,6252,8037,5822,6947,8296,8206,7692,9525,10135,9973,10614,11076,605
Museum Of The Home ,June,5517,5371,4531,6556,5546,5741,7859,8256,7232,7953,7546,7126,8306,6839,1469
Museum Of The Home ,July,6431,4629,3905,4971,6028,6809,7986,8779,6289,7450,7523,8095,8679,13488,4413
Museum Of The Home ,August,5998,5004,5145,5774,6535,6646,8789,9200,7812,10057,11123,8941,9616,9849,22795
Museum Of The Home ,September,6823,5203,5222,5410,5853,6128,7819,7865,8727,8133,7191,9153,9858,9807,2443
Museum Of The Home ,October,6988,6194,4407,6830,7449,7888,9127,8104,8952,9223,9245,9594,10348,9385,2679
Museum Of The Home ,November,5681,6883,6116,6846,8731,8334,8494,8058,8683,8802,8282,8722,8202,15014,2491
Museum Of The Home ,December,10897,11527,13423,10156,13183,13132,12392,14657,13715,15571,13070,16992,17127,15592,616
Museum Of The Home ,January,5226,7545,7432,7149,7668,8291,8500,8096,10201,9886,8644,9524,9529,14580,0
Museum Of The Home ,February,6728,10378,6858,6560,7072,8480,8610,7883,8957,9291,7535,8936,9425,85,0
Museum Of The Home ,March,6329,5760,8235,5836,7247,7684,8596,7815,8572,7870,7893,8567,8155,122,0
Horniman Museum ,April,29082,22371,27718,43133,44533,63848,65009,46675,55508,61383,72941,83330,70227,92641,87228
Horniman Museum ,May,26920,23981,28215,46119,42597,55090,53919,43988,45802,59588,68663,71251,60651,64585,62575
Horniman Museum ,June,26292,23739,23637,38265,39111,44110,50764,41071,53644,50050,52577,52792,57575,52319,53304
Horniman Museum ,July,30754,31196,45024,49048,46293,62888,61425,48131,59656,57553,80494,73614,81518,79967,75944
Horniman Museum ,August,37070,36276,67145,71175,67616,101590,87153,65560,75666,87090,99772,97240,84153,90771,93615
Horniman Museum ,September,23037,16611,25288,28902,28826,35427,34867,32718,36513,49644,45092,47558,58307,63586,59310
Horniman Museum ,October,27200,27244,41995,38354,42139,52849,48478,43209,46476,61954,64686,69870,84487,86311,86014
Horniman Museum ,November,17325,19170,27717,27290,29706,39253,32741,32392,42190,52515,54358,49677,45291,46051,46732
Horniman Museum ,December,16560,15861,27204,23929,25665,27951,25563,27300,42059,48125,43776,45506,46253,46755,40742
Horniman Museum ,January,18877,19194,28859,28486,33476,39130,38890,38258,38608,54899,49824,52219,51720,55895,0
Horniman Museum ,February,27225,24929,48788,42996,32077,48828,47501,44494,53932,56972,59610,71206,77677,70922,0
Horniman Museum ,March,23086,22296,38276,40197,51074,50337,38664,45483,66021,58278,58596,79620,67069,63392,0
Imperial War Museum ,April,186892,187915,194181,181982,163778,192775,200142,185712,209926,137002,157450,229487,213247,253310,230800
Imperial War Museum ,May,169107,223600,162336,187043,192840,187913,193635,180132,181051,156918,169749,261665,218894,224510,225554
Imperial War Museum ,June,210462,179361,167172,167230,155107,164958,190834,205926,214313,134601,144708,215539,209813,199447,198431
Imperial War Museum ,July,222688,205863,216115,225056,223390,233590,265349,277576,205876,197417,301443,295101,275039,278161,274140
Imperial War Museum ,August,205298,174454,219031,207458,219977,243647,285501,276118,224807,285373,463235,282260,266867,272668,279768
Imperial War Museum ,September,158664,152206,168855,171359,149456,168580,218416,193931,197999,198342,294976,221799,204516,214793,264705
Imperial War Museum ,October,201526,191164,190074,201617,201488,219007,235733,222815,212422,213539,333300,228949,229627,215930,283398
Imperial War Museum ,November,130950,117738,129985,136655,151711,135576,152272,151766,158357,152813,241491,156206,161899,157479,234743
Imperial War Museum ,December,100653,91267,98305,94689,105308,95726,106340,107610,113089,115990,157331,120585,133416,123373,150578
Imperial War Museum ,January,104452,97767,100546,100874,116679,94363,129727,120408,60235,77275,160654,132431,134506,138684,0
Imperial War Museum ,February,163933,144401,149978,149498,169383,177174,173281,165314,95664,99362,191700,180975,177092,184551,0
Imperial War Museum ,March,201821,140774,159491,175870,157648,165955,166409,162284,116604,107292,197808,213519,191061,202555,0
National Gallery,April,437000,455000,385000,387000,358000,443000,402000,399000,549000,531000,576000,582391,593859,529623,552410
National Gallery,May,391000,417000,344000,406000,341000,415000,379000,395000,440000,533000,575000,569944,482986,436894,460506
National Gallery,June,319000,276000,268000,303000,302000,346000,368000,425000,409000,489000,516000,446139,469255,356412,428434
National Gallery,July,460000,332000,411000,377000,454000,466000,519000,542000,415000,583000,581000,568275,538471,465114,594002
National Gallery,August,443000,268000,440000,382000,493000,481000,568000,517000,351000,568000,681000,464029,553085,446573,540749
National Gallery,September,325000,277000,284000,259000,296000,305000,345000,339000,373000,391000,381000,308832,429065,319761,367576
National Gallery,October,425000,299000,452000,282000,356000,334000,448000,402000,430000,476000,536000,436293,585215,416086,502528
National Gallery,November,448000,330000,505000,307000,344000,366000,402000,444000,415000,402000,505000,499436,527795,360265,449050
National Gallery,December,410000,297000,473000,285000,350000,387000,372000,508000,395000,459000,596000,446337,505880,408841,530125
National Gallery,January,402000,291000,435000,251000,340000,370000,422000,530000,413000,427000,536000,434289,491383,394954,0
National Gallery,February,342000,316000,324000,286000,339000,371000,407000,414000,494000,493000,475000,564105,471899,478465,0
National Gallery,March,507000,395000,414000,389000,466000,411000,453000,443000,692000,551000,576000,578834,526341,437032,0
Natural History Museum  Total,April,334563,317159,427859,377222,381344,375266,473832,435006,563292,507818,535622,509192,436803,414546,499161
Natural History Museum  Total,May,224639,266981,289375,302140,315724,302056,363554,347975,371562,467023,456755,477414,365201,347883,424491
Natural History Museum  Total,June,241971,259160,235277,235274,244244,249596,346115,368839,397215,407379,423197,405309,356587,329714,395371
Natural History Museum  Total,July,346481,274360,368301,362649,370435,357792,461953,467542,438993,531883,528358,535820,420078,428928,503986
Natural History Museum  Total,August,444688,307145,382191,451542,494078,504349,592534,581974,538208,587485,603963,607731,485832,457134,619834
Natural History Museum  Total,September,215577,193935,260544,230292,234777,313639,318902,359336,364002,385800,365915,398604,318413,343974,405607
Natural History Museum  Total,October,328146,286137,350074,313229,308171,435690,448191,461111,465167,474547,455093,503202,438062,439982,520751
Natural History Museum  Total,November,192761,233607,247359,242251,239766,350938,321562,343098,409545,395478,387150,354632,350801,362140,381659
Natural History Museum  Total,December,187571,264335,268148,246893,245978,353290,299451,359332,388126,390798,367438,332606,367769,387044,424729
Natural History Museum  Total,January,223862,265744,261511,254620,292456,332557,360178,384493,373745,433845,400768,363712,367032,339191,0
Natural History Museum  Total,February,284144,342435,343704,349749,344744,417306,432564,424552,485675,505451,458190,426559,375208,436238,0
