Museum Name,Month,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
British Museum,1,0,327033,360700,351099,546448,410035,402611,414782,408567,355439,428710,446904,437169,388072,397809,447863,463881,0,190792,395472,446425,481600
British Museum,2,0,367113,328462,368636,580093,417681,457606,460670,491294,463939,457379,477719,497950,420134,385277,470127,471593,0,246311,303120,509388,501284
British Museum,3,0,365956,388734,422498,635357,478764,519990,532013,500728,598079,589267,533510,555868,491414,432333,494348,179887,0,280991,466847,548622,516333
British Museum,4,403841,372676,431430,400735,455743,508408,513323,495739,579873,644605,641259,600774,530029,549563,472113,518883,0,0,335401,376473,539986,494529
British Museum,5,367435,414362,443157,431701,454604,471666,539734,485629,462164,660497,654228,635393,568317,541927,480033,546823,0,44893,346168,531650,583873,545199
British Museum,6,352583,390743,442917,401792,389540,460450,461935,526789,457906,579950,596527,601099,567555,557991,507173,577624,0,111514,379912,560358,541916,560756
British Museum,7,504251,400081,484378,470926,552341,567216,601719,663409,493439,747936,698550,765877,689401,679308,645024,687837,0,145595,471554,715654,707512,0
British Museum,8,490457,359917,473701,500509,582018,549704,596630,617343,480136,739711,702997,717386,635353,591149,628253,638890,7194,205847,432545,633089,641660,0
British Museum,9,360254,320651,363569,481784,443478,416677,432671,444345,443538,555727,498386,520716,477003,422497,464483,447383,43627,168444,335308,472610,464590,0
British Museum,10,455236,405798,399860,555695,526540,499376,490251,494480,491908,533444,586248,624066,541954,479492,523369,522556,72418,250198,404408,524294,532125,0
British Museum,11,387258,365994,354909,509191,384757,391531,430562,342734,415935,410312,425550,483800,477088,421888,433200,442347,11903,220861,327109,406665,471668,0
British Museum,12,396783,377364,366105,523699,376555,405153,395106,370601,350458,411397,416112,413442,442708,363281,459485,445302,24963,179768,346754,434628,492187,0
Museum Of The Home,1,0,5226,7545,7432,7149,7668,8291,8500,8096,10201,9886,8644,9524,9529,14580,166,270,0,5469,12736,11098,13693
Museum Of The Home,2,0,6728,10378,6858,6560,7072,8480,8610,7883,8957,9291,7535,8936,9425,85,316,112,0,9050,10576,11175,14710
Museum Of The Home,3,0,6329,5760,8235,5836,7247,7684,8596,7815,8572,7870,7893,8567,8155,122,230,272,0,6297,10875,11969,15084
Museum Of The Home,4,6599,5778,5381,6227,5365,7294,8223,7970,8654,9362,9981,8567,11911,9069,240,1515,0,0,13032,12433,12060,15096
Museum Of The Home,5,6742,5136,6252,8037,5822,6947,8296,8206,7692,9525,10135,9973,10614,11076,605,542,0,0,10210,12577,14490,16903
Museum Of The Home,6,5517,5371,4531,6556,5546,5741,7859,8256,7232,7953,7546,7126,8306,6839,1469,5475,0,2810,12648,19087,14707,15262
Museum Of The Home,7,6431,4629,3905,4971,6028,6809,7986,8779,6289,7450,7523,8095,8679,13488,4413,4415,0,4714,16141,19196,0,0
Museum Of The Home,8,5998,5004,5145,5774,6535,6646,8789,9200,7812,10057,11123,8941,9616,9849,22795,1995,0,8351,15534,17423,17645,0
