Museum,Year,Income,IncomeType
British Museum,2008/09,3100000,Admissions
Museum of the Home,2008/09,,Admissions
Horniman Museum,2008/09,5809,Admissions
Imperial War Museums,2008/09,4752000,Admissions
Museum of Science and Industry in Manchester,2008/09,1541874,Admissions
National Gallery,2008/09,1459000,Admissions
National Museums Liverpool,2008/09,,Admissions
National Portrait Gallery,2008/09,1828371,Admissions
Natural History Museum,2008/09,1942000,Admissions
Royal Armouries,2008/09,75000,Admissions
Royal Museums Greenwich,2008/09,337827,Admissions
Science Museum Group,2008/09,253000,Admissions
Sir John Soane's Museum,2008/09,11634,Admissions
Tate Gallery Group,2008/09,7194000,Admissions
Tyne and Wear Museums,2008/09,43862,Admissions
Victoria and Albert Museum,2008/09,2737000,Admissions
Wallace Collection,2008/09,,Admissions
Total,2008/09,25281000,Admissions
British Museum,2009/10,2200000,Admissions
Museum of the Home,2009/10,,Admissions
Horniman Museum,2009/10,236505,Admissions
Imperial War Museums,2009/10,5552000,Admissions
Museum of Science and Industry in Manchester,2009/10,113553,Admissions
National Gallery,2009/10,1570000,Admissions
National Museums Liverpool,2009/10,,Admissions
National Portrait Gallery,2009/10,1390642,Admissions
Natural History Museum,2009/10,1360000,Admissions
Royal Armouries,2009/10,117000,Admissions
Royal Museums Greenwich,2009/10,52775086,Admissions
Science Museum Group,2009/10,802000,Admissions
Sir John Soane's Museum,2009/10,23281,Admissions
Tate Gallery Group,2009/10,5625000,Admissions
Tyne and Wear Museums,2009/10,89328,Admissions
Victoria and Albert Museum,2009/10,3118000,Admissions
Wallace Collection,2009/10,,Admissions
Total,2009/10,22725000,Admissions
British Museum,2011/12,2200000,Admissions
Museum of the Home,2011/12,,Admissions
Horniman Museum,2011/12,222318,Admissions
Imperial War Museums,2011/12,6147000,Admissions
Museum of Science and Industry in Manchester,2011/12,,Admissions
National Gallery,2011/12,3533000,Admissions
National Museums Liverpool,2011/12,289000,Admissions
National Portrait Gallery,2011/12,1711704,Admissions
Natural History Museum,2011/12,2390000,Admissions
Royal Armouries,2011/12,71000,Admissions
Royal Museums Greenwich,2011/12,2239000,Admissions
Science Museum Group,2011/12,38000,Admissions
Sir John Soane's Museum,2011/12,31240,Admissions
Tate Gallery Group,2011/12,6379000,Admissions
Tyne and Wear Museums,2011/12,54380,Admissions
Victoria and Albert Museum,2011/12,4004000,Admissions
Wallace Collection,2011/12,,Admissions
Total,2011/12,29310000,Admissions
British Museum,2012/13,1200000,Admissions
Museum of the Home,2012/13,,Admissions
Horniman Museum,2012/13,345057,Admissions
Imperial War Museums,2012/13,6438923,Admissions
Museum of Science and Industry in Manchester,2012/13,,Admissions
National Gallery,2012/13,858000,Admissions
National Museums Liverpool,2012/13,52213,Admissions
National Portrait Gallery,2012/13,2257448,Admissions
Natural History Museum,2012/13,2060000,Admissions
Royal Armouries,2012/13,111000,Admissions
Royal Museums Greenwich,2012/13,2602000,Admissions
Science Museum Group,2012/13,,Admissions
Sir John Soane's Museum,2012/13,41933,Admissions
Tate Gallery Group,2012/13,10826000,Admissions
Tyne and Wear Museums,2012/13,51965,Admissions
Victoria and Albert Museum,2012/13,4361400,Admissions
Wallace Collection,2012/13,,Admissions
Total,2012/13,31206000,Admissions
British Museum,2013/14,5700000,Admissions
Museum of the Home,2013/14,,Admissions
Horniman Museum,2013/14,464681,Admissions
Imperial War Museums,2013/14,8011000,Admissions
Museum of Science and Industry in Manchester,2013/14,,Admissions
National Gallery,2013/14,1400000,Admissions
National Museums Liverpool,2013/14,,Admissions
National Portrait Gallery,2013/14,1809309,Admissions
Natural History Museum,2013/14,2460000,Admissions
Royal Armouries,2013/14,98000,Admissions
Royal Museums Greenwich,2013/14,3371618,Admissions
Science Museum Group,2013/14,466000,Admissions
Sir John Soane's Museum,2013/14,53037,Admissions
Tate Gallery Group,2013/14,6850000,Admissions
Tyne and Wear Museums,2013/14,117413,Admissions
Victoria and Albert Museum,2013/14,5941000,Admissions
Wallace Collection,2013/14,,Admissions
Total,2013/14,36742000,Admissions
British Museum,2015/16,2500000,Admissions
Museum of the Home,2015/16,,Admissions
Horniman Museum,2015/16,455000,Admissions
Imperial War Museums,2015/16,9525000,Admissions
Museum of Science and Industry in Manchester,2015/16,,Admissions
National Gallery,2015/16,3422000,Admissions
National Museums Liverpool,2015/16,278558,Admissions
National Portrait Gallery,2015/16,2557145,Admissions
Natural History Museum,2015/16,3270000,Admissions
Royal Armouries,2015/16,79055,Admissions
Royal Museums Greenwich,2015/16,5150512,Admissions
Science Museum Group,2015/16,1884000,Admissions
Sir John Soane's Museum,2015/16,54526,Admissions
Tate Gallery Group,2015/16,5139000,Admissions
Tyne and Wear Museums,2015/16,,Admissions
Victoria and Albert Museum,2015/16,7699000,Admissions
Wallace Collection,2015/16,,Admissions
Total,2015/16,42014000,Admissions
British Museum,2016/17,3000000,Admissions
Museum of the Home,2016/17,,Admissions
Horniman Museum,2016/17,568000,Admissions
Imperial War Museums,2016/17,9919000,Admissions
Museum of Science and Industry in Manchester,2016/17,,Admissions
National Gallery,2016/17,2800000,Admissions
National Museums Liverpool,2016/17,55878,Admissions
National Portrait Gallery,2016/17,2652273,Admissions
Natural History Museum,2016/17,2920000,Admissions
Royal Armouries,2016/17,45635,Admissions
Royal Museums Greenwich,2016/17,5706775,Admissions
Science Museum Group,2016/17,1864519,Admissions
Sir John Soane's Museum,2016/17,72514,Admissions
Tate Gallery Group,2016/17,8205000,Admissions
Tyne and Wear Museums,2016/17,,Admissions
Victoria and Albert Museum,2016/17,5891000,Admissions
Wallace Collection,2016/17,,Admissions
Total,2016/17,43701000,Admissions
British Museum,2017/18,2200000,Admissions
Museum of the Home,2017/18,,Admissions
Horniman Museum,2017/18,758000,Admissions
Imperial War Museums,2017/18,10855000,Admissions
Museum of Science and Industry in Manchester,2017/18,,Admissions
National Gallery,2017/18,1800000,Admissions
National Museums Liverpool,2017/18,1707400,Admissions
National Portrait Gallery,2017/18,1969542,Admissions
Natural History Museum,2017/18,3580000,Admissions
Royal Armouries,2017/18,72725,Admissions
Royal Museums Greenwich,2017/18,6083593,Admissions
Science Museum Group,2017/18,2413000,Admissions
Sir John Soane's Museum,2017/18,52349,Admissions
Tate Gallery Group,2017/18,10941000,Admissions
Tyne and Wear Museums,2017/18,,Admissions
Victoria and Albert Museum,2017/18,5976000,Admissions
Wallace Collection,2017/18,,Admissions
Total,2017/18,48409000,Admissions
British Museum,2018/19,2000000,Admissions
Museum of the Home,2018/19,,Admissions
Horniman Museum,2018/19,724000,Admissions
Imperial War Museums,2018/19,12040000,Admissions
Museum of Science and Industry in Manchester,2018/19,,Admissions
National Gallery,2018/19,4400000,Admissions
National Museums Liverpool,2018/19,4961000,Admissions
National Portrait Gallery,2018/19,1574552,Admissions
Natural History Museum,2018/19,3460000,Admissions
Royal Armouries,2018/19,96051,Admissions
Royal Museums Greenwich,2018/19,7318909,Admissions
Science Museum Group,2018/19,1835000,Admissions
Sir John Soane's Museum,2018/19,76612,Admissions
Tate Gallery Group,2018/19,10835000,Admissions
Tyne and Wear Museums,2018/19,,Admissions
Victoria and Albert Museum,2018/19,9470000,Admissions
Wallace Collection,2018/19,,Admissions
Total,2018/19,58791000,Admissions
British Museum,2019/20,4300000,Admissions
Museum of the Home,2019/20,,Admissions
Horniman Museum,2019/20,766000,Admissions
Imperial War Museums,2019/20,12684000,Admissions
Museum of Science and Industry in Manchester,2019/20,,Admissions
National Gallery,2019/20,3300000,Admissions
National Museums Liverpool,2019/20,640000,Admissions
National Portrait Gallery,2019/20,2262152,Admissions
Natural History Museum,2019/20,2850000,Admissions
Royal Armouries,2019/20,58709,Admissions
Royal Museums Greenwich,2019/20,7760705,Admissions
Science Museum Group,2019/20,1725000,Admissions
Sir John Soane's Museum,2019/20,112963,Admissions
Tate Gallery Group,2019/20,13195000,Admissions
Tyne and Wear Museums,2019/20,,Admissions
Victoria and Albert Museum,2019/20,9260000,Admissions
Wallace Collection,2019/20,317000,Admissions
Total,2019/20,59232000,Admissions
British Museum,2020/21,300000,Admissions
Museum of the Home,2020/21,,Admissions
Horniman Museum,2020/21,110000,Admissions
Imperial War Museums,2020/21,1338000,Admissions
