Museum,Year,RecommendPercent
British Museum,2008/09,85
Museum of the Home,2008/09,86
Horniman Museum,2008/09,97
Imperial War Museums,2008/09,98
Museum of Science and Industry in Manchester,2008/09,78
National Gallery,2008/09,99
National Museums Liverpool,2008/09,94
National Portrait Gallery,2008/09,98
Natural History Museum,2008/09,96
Royal Armouries,2008/09,96
Royal Museums Greenwich,2008/09,99
Science Museum Group,2008/09,98
Sir John Soane's Museum,2008/09,98
Tate Gallery Group,2008/09,90
Tyne and Wear Museums,2008/09,97
Victoria and Albert Museum,2008/09,99
Wallace Collection,2008/09,100
British Museum,2009/10,100
Museum of the Home,2009/10,88
Horniman Museum,2009/10,97
Imperial War Museums,2009/10,99
Museum of Science and Industry in Manchester,2009/10,78
National Gallery,2009/10,99
National Museums Liverpool,2009/10,96
National Portrait Gallery,2009/10,99
Natural History Museum,2009/10,97
Royal Armouries,2009/10,99
Royal Museums Greenwich,2009/10,99
Science Museum Group,2009/10,98
Sir John Soane's Museum,2009/10,96
Tate Gallery Group,2009/10,94
Tyne and Wear Museums,2009/10,98
Victoria and Albert Museum,2009/10,99
Wallace Collection,2009/10,100
British Museum,2010/11,96
Museum of the Home,2010/11,100
Horniman Museum,2010/11,98
Imperial War Museums,2010/11,99
Museum of Science and Industry in Manchester,2010/11,78
National Gallery,2010/11,99
National Museums Liverpool,2010/11,97
National Portrait Gallery,2010/11,93
Natural History Museum,2010/11,81
Royal Armouries,2010/11,100
Royal Museums Greenwich,2010/11,99
Science Museum Group,2010/11,99
Sir John Soane's Museum,2010/11,98
Tate Gallery Group,2010/11,94
Tyne and Wear Museums,2010/11,95
Victoria and Albert Museum,2010/11,99
Wallace Collection,2010/11,100
British Museum,2011/12,97
Museum of the Home,2011/12,95
Horniman Museum,2011/12,99
Imperial War Museums,2011/12,99
Museum of Science and Industry in Manchester,2011/12,
National Gallery,2011/12,99
National Museums Liverpool,2011/12,98
National Portrait Gallery,2011/12,97
Natural History Museum,2011/12,97
Royal Armouries,2011/12,100
Royal Museums Greenwich,2011/12,97
Science Museum Group,2011/12,99
Sir John Soane's Museum,2011/12,98
Tate Gallery Group,2011/12,96
Tyne and Wear Museums,2011/12,95
Victoria and Albert Museum,2011/12,99
Wallace Collection,2011/12,98
British Museum,2012/13,99
Museum of the Home,2012/13,95
Horniman Museum,2012/13,98
Imperial War Museums,2012/13,99
Museum of Science and Industry in Manchester,2012/13,
National Gallery,2012/13,99
National Museums Liverpool,2012/13,98
National Portrait Gallery,2012/13,97
Natural History Museum,2012/13,97
Royal Armouries,2012/13,100
Royal Museums Greenwich,2012/13,98
Science Museum Group,2012/13,98
Sir John Soane's Museum,2012/13,98
Tate Gallery Group,2012/13,90
Tyne and Wear Museums,2012/13,95
Victoria and Albert Museum,2012/13,99
Wallace Collection,2012/13,98
British Museum,2013/14,99
Museum of the Home,2013/14,98
Horniman Museum,2013/14,98
Imperial War Museums,2013/14,98
Museum of Science and Industry in Manchester,2013/14,
National Gallery,2013/14,99
National Museums Liverpool,2013/14,99
National Portrait Gallery,2013/14,97
Natural History Museum,2013/14,94
Royal Armouries,2013/14,100
Royal Museums Greenwich,2013/14,98
Science Museum Group,2013/14,98
Sir John Soane's Museum,2013/14,98
Tate Gallery Group,2013/14,94
Tyne and Wear Museums,2013/14,94
Victoria and Albert Museum,2013/14,100
Wallace Collection,2013/14,96
British Museum,2014/15,97
Museum of the Home,2014/15,98
Horniman Museum,2014/15,98
Imperial War Museums,2014/15,96
Museum of Science and Industry in Manchester,2014/15,
National Gallery,2014/15,99
National Museums Liverpool,2014/15,98
National Portrait Gallery,2014/15,96
Natural History Museum,2014/15,96
Royal Armouries,2014/15,99
