Museum,Year,VisitorCount,VisitorType
British Museum,2008/09,5472056,Total
Museum of the Home,2008/09,86499,Total
Horniman Museum,2008/09,483113,Total
Imperial War Museums,2008/09,2006765,Total
Museum of Science and Industry in Manchester,2008/09,745188,Total
National Coal Mining Museum,2008/09,116186,Total
National Gallery,2008/09,4439000,Total
National Museums Liverpool,2008/09,2689889,Total
National Portrait Gallery,2008/09,1833614,Total
Natural History Museum,2008/09,3813260,Total
Royal Armouries,2008/09,448622,Total
Royal Museums Greenwich,2008/09,2068244,Total
Science Museum Group,2008/09,4281610,Total
Sir John Soane's Museum,2008/09,96445,Total
Tate Gallery Group,2008/09,7475194,Total
Tyne and Wear Museums,2008/09,1518092,Total
Victoria and Albert Museum,2008/09,2490702,Total
Wallace Collection,2008/09,359165,Total
Total,2008/09,40424000,Total
British Museum,2009/10,5650388,Total
Museum of the Home,2009/10,93374,Total
Horniman Museum,2009/10,621301,Total
Imperial War Museums,2009/10,2079264,Total
Museum of Science and Industry in Manchester,2009/10,568993,Total
National Coal Mining Museum,2009/10,118417,Total
National Gallery,2009/10,4695000,Total
National Museums Liverpool,2009/10,2272981,Total
National Portrait Gallery,2009/10,1984464,Total
Natural History Museum,2009/10,4378567,Total
Royal Armouries,2009/10,466987,Total
Royal Museums Greenwich,2009/10,2378786,Total
Science Museum Group,2009/10,4312668,Total
Sir John Soane's Museum,2009/10,107498,Total
Tate Gallery Group,2009/10,7125173,Total
Tyne and Wear Museums,2009/10,2286737,Total
Victoria and Albert Museum,2009/10,2746050,Total
Wallace Collection,2009/10,382773,Total
Total,2009/10,42269000,Total
British Museum,2010/11,5869396,Total
Museum of the Home,2010/11,104691,Total
Horniman Museum,2010/11,584974,Total
Imperial War Museums,2010/11,2317639,Total
Museum of Science and Industry in Manchester,2010/11,638347,Total
National Coal Mining Museum,2010/11,107582,Total
National Gallery,2010/11,5085000,Total
National Museums Liverpool,2010/11,2631265,Total
National Portrait Gallery,2010/11,1758488,Total
Natural History Museum,2010/11,4809647,Total
Royal Armouries,2010/11,462753,Total
Royal Museums Greenwich,2010/11,2433163,Total
Science Museum Group,2010/11,4093463,Total
Sir John Soane's Museum,2010/11,110106,Total
Tate Gallery Group,2010/11,7450458,Total
Tyne and Wear Museums,2010/11,2023249,Total
Victoria and Albert Museum,2010/11,3048887,Total
Wallace Collection,2010/11,357538,Total
Total,2010/11,43887000,Total
British Museum,2011/12,5841658,Total
Museum of the Home,2011/12,104889,Total
Horniman Museum,2011/12,509279,Total
Imperial War Museums,2011/12,2249592,Total
Museum of Science and Industry in Manchester,2011/12,,Total
National Coal Mining Museum,2011/12,101403,Total
National Gallery,2011/12,5358000,Total
National Museums Liverpool,2011/12,3184995,Total
National Portrait Gallery,2011/12,2048168,Total
Natural History Museum,2011/12,4946981,Total
Royal Armouries,2011/12,1852365,Total
Royal Museums Greenwich,2011/12,1858538,Total
Science Museum Group,2011/12,5170505,Total
Sir John Soane's Museum,2011/12,107903,Total
Tate Gallery Group,2011/12,7066295,Total
Tyne and Wear Museums,2011/12,1798080,Total
Victoria and Albert Museum,2011/12,3335220,Total
Wallace Collection,2011/12,399312,Total
Total,2011/12,45933000,Total
British Museum,2012/13,5592814,Total
Museum of the Home,2012/13,105486,Total
Horniman Museum,2012/13,616075,Total
Imperial War Museums,2012/13,1990343,Total
Museum of Science and Industry in Manchester,2012/13,,Total
National Coal Mining Museum,2012/13,119800,Total
National Gallery,2012/13,5376000,Total
National Museums Liverpool,2012/13,3277303,Total
National Portrait Gallery,2012/13,2054327,Total
Natural History Museum,2012/13,5288349,Total
Royal Armouries,2012/13,1810783,Total
Royal Museums Greenwich,2012/13,1929199,Total
Science Museum Group,2012/13,5148831,Total
Sir John Soane's Museum,2012/13,106150,Total
Tate Gallery Group,2012/13,7746953,Total
Tyne and Wear Museums,2012/13,1740863,Total
Victoria and Albert Museum,2012/13,3734257,Total
Wallace Collection,2012/13,377756,Total
Total,2012/13,47015000,Total
British Museum,2013/14,6758935,Total
Museum of the Home,2013/14,113123,Total
Horniman Museum,2013/14,698051,Total
Imperial War Museums,2013/14,1875924,Total
Museum of Science and Industry in Manchester,2013/14,,Total
National Coal Mining Museum,2013/14,125317,Total
National Gallery,2013/14,5903000,Total
National Museums Liverpool,2013/14,2710184,Total
National Portrait Gallery,2013/14,1988449,Total
Natural History Museum,2013/14,5571539,Total
Royal Armouries,2013/14,1941533,Total
Royal Museums Greenwich,2013/14,2475490,Total
Science Museum Group,2013/14,5711620,Total
Sir John Soane's Museum,2013/14,119305,Total
Tate Gallery Group,2013/14,7036490,Total
Tyne and Wear Museums,2013/14,1746518,Total
Victoria and Albert Museum,2013/14,3646744,Total
Wallace Collection,2013/14,415469,Total
Total,2013/14,48838000,Total
British Museum,2014/15,6677990,Total
Museum of the Home,2014/15,108168,Total
Horniman Museum,2014/15,750389,Total
Imperial War Museums,2014/15,2813845,Total
Museum of Science and Industry in Manchester,2014/15,,Total
National Coal Mining Museum,2014/15,119723,Total
National Gallery,2014/15,6534000,Total
National Museums Liverpool,2014/15,2654301,Total
National Portrait Gallery,2014/15,2081633,Total
Natural History Museum,2014/15,5435948,Total
Royal Armouries,2014/15,2025134,Total
Royal Museums Greenwich,2014/15,2330851,Total
Science Museum Group,2014/15,5336773,Total
Sir John Soane's Museum,2014/15,117470,Total
Tate Gallery Group,2014/15,7904121,Total
Tyne and Wear Museums,2014/15,1784939,Total
Victoria and Albert Museum,2014/15,3736204,Total
Wallace Collection,2014/15,427836,Total
Total,2014/15,50839000,Total
British Museum,2015/16,6853540,Total
Museum of the Home,2015/16,114190,Total
Horniman Museum,2015/16,793883,Total
